,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,bucket
22107,Get Some More,Funk Inc.,spotify:track:6ZEOlVA2ei1JGEn2D4TejO,0.798,0.601,0,-9.386,0,0.0394,0.559,0.892,0.0701,0.869,116.064,358800,4,50.50837,13,0,GetSomeMore-FunkInc..wav
12527,Batuque de Praia,Fagner,spotify:track:6tLLOuJ9wVvSuCR84T8QXG,0.688,0.635,2,-7.042,1,0.0707,0.0263,0.0,0.209,0.821,138.467,169933,4,23.27667,9,0,BatuquedePraia-Fagner.wav
2790,Eternally,Sarah Vaughan,spotify:track:1xYZbzKH9rRC2x0tiOVgB7,0.238,0.282,5,-12.521,1,0.0327,0.955,0.00112,0.101,0.16,133.375,143493,4,24.40967,8,1,Eternally-SarahVaughan.wav
3109,Não é Papo Pra Mim - Versão remasterizada,Roberto Carlos,spotify:track:57cYZKHtxmiNtEm9SZ2l25,0.782,0.521,4,-11.705,1,0.0428,0.27,0.0032,0.0608,0.963,99.281,127347,4,27.37276,7,0,NãoéPapoPraMim-Versãoremasterizada-RobertoCarlos.wav
6615,She Said Yes,Wilson Pickett,spotify:track:3NuKKai62W3W8etSaNqarg,0.671,0.5,0,-15.499,1,0.028,0.289,1.7e-05,0.441,0.783,94.041,195373,4,28.2425,11,1,SheSaidYes-WilsonPickett.wav
6864,Sometimes When We Touch,Dan Hill,spotify:track:2hw2fDtNPkIowTNuQRmlnN,0.589,0.348,2,-11.032,1,0.038,0.685,3.2e-06,0.0849,0.28,119.374,252707,4,29.85578,10,1,SometimesWhenWeTouch-DanHill.wav
4510,We Got Love,Bobby Rydell,spotify:track:5O11gVu4Sm3B7yjQ2rELoY,0.552,0.667,7,-7.058,1,0.039,0.66,0.0,0.1,0.64,131.041,141867,4,57.43174,7,1,WeGotLove-BobbyRydell.wav
7471,Another the Letter - 2006 Remastered Version,Wire,spotify:track:0xr5ZFyC1SssS1dBHfrP5i,0.514,0.614,4,-7.529,1,0.0297,0.0262,0.00226,0.0874,0.753,142.169,67813,4,25.25825,4,0,AnothertheLetter-2006RemasteredVersion-Wire.wav
7495,Riki Tiki Tavi,Donovan,spotify:track:1dJO1XcaKJ2qrZEsoQT3q5,0.858,0.666,0,-9.312,1,0.107,0.268,1.99e-05,0.111,0.85,96.605,175320,4,26.61351,10,1,RikiTikiTavi-Donovan.wav
12470,Heart And Soul,The Monkees,spotify:track:5lWK8C0bi3oIQHMTiEhPGP,0.682,0.73,5,-6.215,1,0.0293,0.00333,0.0,0.0481,0.718,120.73,235413,4,23.78622,11,1,HeartAndSoul-TheMonkees.wav
17630,These Are The Days,O-Town,spotify:track:4Mem5PZWPaqQ7X1bGysNxl,0.598,0.627,9,-6.323,1,0.038,0.000968,0.0,0.0626,0.432,119.991,263933,4,37.07733,11,1,TheseAreTheDays-O-Town.wav
25830,STOOPID,6ix9ine Featuring Bobby Shmurda,spotify:track:1KWLyoPChJrBQFscO8NW8D,0.724,0.685,3,-4.068,0,0.321,0.114,0.0,0.1,0.862,150.016,143250,4,50.46649,8,1,STOOPID-6ix9ineFeaturingBobbyShmurda.wav
824,You Met Your Match,Stevie Wonder,spotify:track:0dMENikF2KCGHCIKt4Ljtd,0.715,0.587,11,-13.955,1,0.0495,0.118,2.5e-05,0.0707,0.943,109.743,158013,4,27.78135,9,1,YouMetYourMatch-StevieWonder.wav
768,To Each His Own,The Tymes,spotify:track:02hIV5OSVZBRia0T3tqr5w,0.326,0.465,1,-9.431,1,0.0285,0.905,0.0,0.277,0.532,107.941,154173,3,27.2438,7,1,ToEachHisOwn-TheTymes.wav
3535,Johnny Angel,Shelley Fabares,spotify:track:5j4CGIpT35ipZrF93ejrhl,0.369,0.385,0,-9.132,1,0.0282,0.872,0.0,0.279,0.735,108.025,139320,4,25.83372,8,1,JohnnyAngel-ShelleyFabares.wav
27209,Scourge of Iron,Cannibal Corpse,spotify:track:6V3SNkvi4BnfmZU0j7s9TQ,0.446,0.977,10,-5.036,0,0.0781,0.000535,0.472,0.105,0.339,172.059,284400,4,80.0069,10,0,ScourgeofIron-CannibalCorpse.wav
7281,Chega de Padecer,VELHA GUARDA DA PORTELA,spotify:track:61seqCKHaKpcagVDiw1PSN,0.65,0.798,5,-10.205,0,0.0577,0.106,0.0,0.0561,0.964,116.111,132333,4,29.49804,7,0,ChegadePadecer-VELHAGUARDADAPORTELA.wav
17095,Close To You,Fun Factory,spotify:track:70DbNpe8D1QnGi92Mo2MK1,0.706,0.926,9,-3.192,0,0.127,0.00135,0.0,0.261,0.389,134.981,218778,4,28.35466,12,1,CloseToYou-FunFactory.wav
5781,Two Steps From The Blues,Johnny Winter,spotify:track:1sUmxFg6c4REkrG8tl6j0f,0.331,0.471,9,-9.383,0,0.0303,0.163,0.0,0.107,0.373,93.309,155533,3,28.91939,8,0,TwoStepsFromTheBlues-JohnnyWinter.wav
18344,Smooth Criminal,Alien Ant Farm,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,4,31.01433,9,1,SmoothCriminal-AlienAntFarm.wav
16746,Sensitivity,Ralph Tresvant,spotify:track:3lRgzwd3g1TewI4zjgbh9V,0.683,0.661,1,-12.823,1,0.0459,0.137,0.557,0.0772,0.707,96.956,281333,4,24.85299,12,1,Sensitivity-RalphTresvant.wav
28540,Going Bad,Meek Mill Featuring Drake,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4,44.89442,8,1,GoingBad-MeekMillFeaturingDrake.wav
7405,Help Me Rhonda,Johnny Rivers,spotify:track:4MIo5Zh9MkJbzC0aGygEGZ,0.662,0.304,0,-17.858,1,0.0432,0.193,3.14e-06,0.0584,0.581,133.553,173373,4,30.32484,10,1,HelpMeRhonda-JohnnyRivers.wav
4230,Bad Misunderstanding,The Critters,spotify:track:4eQ7kb8hyNIYEPuPNZ9RoN,0.603,0.66,7,-8.753,1,0.0668,0.0453,0.00507,0.0468,0.344,116.709,122358,4,23.30108,6,1,BadMisunderstanding-TheCritters.wav
5212,All In My Mind,Maxine Brown,spotify:track:5hNgmiVNNQjgaoi7o5dwJR,0.407,0.411,2,-8.718,1,0.0266,0.788,0.0,0.137,0.392,97.608,154387,3,142.91811,3,1,AllInMyMind-MaxineBrown.wav
15888,Cherokee,Duke Ellington,spotify:track:4pea6LUTdQOX3Gn4w6XaRU,0.574,0.324,7,-15.113,0,0.0364,0.324,2.49e-05,0.21,0.774,93.19,173160,4,48.97833,6,0,Cherokee-DukeEllington.wav
23118,Long Black Train,Josh Turner,spotify:track:2HqCaO7BV010qXS5FuiTED,0.537,0.699,10,-6.615,1,0.0399,0.237,2.27e-05,0.114,0.814,84.905,250627,4,121.31463,10,1,LongBlackTrain-JoshTurner.wav
27649,Landslide,Glee Cast Featuring Gwyneth Paltrow,spotify:track:7LSAtbMWcyKWjIrFOroPhz,0.637,0.416,2,-7.595,1,0.0269,0.434,0.0,0.139,0.588,145.922,226760,4,26.27319,11,1,Landslide-GleeCastFeaturingGwynethPaltrow.wav
20389,I Say Shut Up,Jan Wayne,spotify:track:7nDvxKPIIDJRohR9sc9inx,0.789,0.934,8,-6.706,0,0.102,0.00522,0.938,0.647,0.707,142.0,293773,4,35.07884,10,0,ISayShutUp-JanWayne.wav
8536,Squarer for Maud,National Health,spotify:track:7bTcHWS1ot6uY7LJvh7iTj,0.293,0.397,10,-16.603,0,0.0381,0.401,0.536,0.0884,0.386,140.885,708103,5,69.45125,23,0,SquarerforMaud-NationalHealth.wav
24426,My Chick Bad,Ludacris Featuring Nicki Minaj,spotify:track:3bMNprrp2JDKZsGbiXpsJl,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,216933,4,22.16186,9,1,MyChickBad-LudacrisFeaturingNickiMinaj.wav
14008,If You Want My Love,Cheap Trick,spotify:track:4y3clu5ma91RfOLO5YYOIA,0.494,0.683,4,-9.509,1,0.0323,0.0213,0.0,0.288,0.474,115.441,215720,4,44.95811,11,1,IfYouWantMyLove-CheapTrick.wav
10969,Before The Next Teardrop Falls,Freddy Fender,spotify:track:3awuorsQsio2PUOvzq3hpd,0.799,0.345,10,-11.52,1,0.0276,0.748,2.39e-05,0.169,0.776,90.417,156874,4,46.07835,8,1,BeforeTheNextTeardropFalls-FreddyFender.wav
19903,Landed,Ben Folds,spotify:track:4mrVwQQiv8AkXoJWehbWsK,0.413,0.684,10,-6.099,1,0.0291,0.0557,4.76e-05,0.244,0.306,83.199,266773,4,20.66479,10,1,Landed-BenFolds.wav
18316,Open Your Heart,Crush 40,spotify:track:5HeiUTnqTxWdHuAI6RYdrR,0.359,0.889,2,-6.544,1,0.148,7.37e-06,0.00466,0.0695,0.318,157.915,289067,4,60.56301,7,0,OpenYourHeart-Crush40.wav
8363,Clube Da Esquina Nº 2,Milton Nascimento,spotify:track:1sdW2whJr8CLa6bMA67LPQ,0.47,0.454,2,-14.921,1,0.0289,0.44,0.424,0.244,0.738,151.519,218600,4,30.47235,10,0,ClubeDaEsquinaNº2-MiltonNascimento.wav
21340,Spiritual,Pat Metheny,spotify:track:44BzwIxfRRzOJOe97DLnvx,0.667,0.0398,0,-20.78,1,0.0369,0.956,0.918,0.0816,0.0479,107.993,502240,3,43.75509,19,0,Spiritual-PatMetheny.wav
3699,Bring Back Those Rockabye Baby Days,Tiny Tim,spotify:track:17gr6lkwG9R0HqFBHUcHZD,0.681,0.713,11,-8.147,1,0.0427,0.439,0.0,0.0529,0.873,115.938,123827,4,45.62394,6,1,BringBackThoseRockabyeBabyDays-TinyTim.wav
17532,The Sprig of Thyme: No. 1. The bold grenadier,John Rutter,spotify:track:0qrluoRkYlnM7R46lJs6Gr,0.19,0.0237,5,-29.269,0,0.0397,0.991,0.0387,0.104,0.14,103.604,182400,3,20.01717,10,0,TheSprigofThyme:No.1.Theboldgrenadier-JohnRutter.wav
20299,Inside The Fire,Disturbed,spotify:track:5cxp9kjCFyJwzv3lzeX7ku,0.463,0.962,7,-6.43,1,0.0704,0.000233,0.109,0.0906,0.66,94.003,231573,4,47.58392,6,1,InsideTheFire-Disturbed.wav
18876,Life Of My Own,Cro-Mags,spotify:track:3gA8Ccp7NPOSvPIrZxuelY,0.236,0.977,4,-5.922,1,0.101,0.000173,0.861,0.359,0.502,102.427,172199,4,52.78182,8,0,LifeOfMyOwn-Cro-Mags.wav
13653,Liar,Grim Reaper,spotify:track:6mkmi55KJgQm9G3XgW04pJ,0.204,0.938,0,-6.364,1,0.158,0.0026,0.174,0.219,0.122,130.212,168620,4,72.30047,7,0,Liar-GrimReaper.wav
2559,The Garden Of Earthly Delights,The United States Of America,spotify:track:2YtOfw6ziMPeouhmu3ocqW,0.293,0.616,2,-11.377,0,0.0473,0.267,0.0,0.218,0.595,143.078,159160,4,37.81,9,0,TheGardenOfEarthlyDelights-TheUnitedStatesOfAmerica.wav
14960,ילדתי,Zohar Argov,spotify:track:5eCNatcyB2wXfQpYw0byTE,0.303,0.364,0,-13.385,0,0.034,0.752,0.0,0.0639,0.307,108.019,276773,3,32.83059,14,0,ילדתי-ZoharArgov.wav
15223,River of Jordan,Ricky Skaggs,spotify:track:0ikDGz8k2yIHoVhmuCVpLC,0.718,0.165,9,-16.255,1,0.0342,0.825,0.0,0.237,0.852,96.668,153000,4,41.51394,8,0,RiverofJordan-RickySkaggs.wav
25108,Another One Bites The Dust,Glee Cast,spotify:track:5sKuVASn4mzf7lTOUfaLVK,0.95,0.432,9,-5.457,1,0.109,0.0249,1.43e-05,0.155,0.769,109.99,180760,4,34.38839,10,1,AnotherOneBitesTheDust-GleeCast.wav
27545,Flicker,Ollie Macfarlane,spotify:track:1hCaefNyvQzXjBCJrcJQYQ,0.802,0.784,7,-5.119,1,0.0497,0.141,0.912,0.0811,0.101,128.014,300820,4,32.34518,9,0,Flicker-OllieMacfarlane.wav
27334,A Liar,Metal Command,spotify:track:5Sj8cHGAetTsXwEHDdTmEf,0.253,0.965,1,-5.666,1,0.0884,9.46e-05,0.686,0.145,0.272,110.664,396507,3,78.88236,15,0,ALiar-MetalCommand.wav
22926,Sugar Coated Sour,The Dillinger Escape Plan,spotify:track:2UcpjCU2cpRx7DurSQb7U1,0.289,0.971,9,-4.889,0,0.147,0.000351,0.0,0.127,0.218,90.589,144013,4,27.72746,5,0,SugarCoatedSour-TheDillingerEscapePlan.wav
14380,Industrial Disease,Dire Straits,spotify:track:1laOaJ0vcBx3cjUhH50mW7,0.608,0.844,9,-9.164,1,0.0477,0.00281,0.00107,0.116,0.722,149.63,350373,4,31.73063,13,1,IndustrialDisease-DireStraits.wav
24224,Satisfied Mind,Eau Claire Memorial Jazz I,spotify:track:6Dbnygk8VCW1i7SmVkz6EG,0.389,0.232,10,-23.872,1,0.217,0.949,0.00116,0.952,0.534,108.454,406253,3,17.83233,19,0,SatisfiedMind-EauClaireMemorialJazzI.wav
25197,Orphans of the Sky,36,spotify:track:3wwxIAfuJWjxgzgrQIjARs,0.172,0.148,10,-18.667,1,0.0394,0.908,0.763,0.0834,0.038,123.948,412891,3,21.75482,27,0,OrphansoftheSky-36.wav
17954,Never Wanted Nothing More,Kenny Chesney,spotify:track:2q49JWdTqa951SdCXZW44g,0.528,0.742,7,-7.044,1,0.0526,0.0412,1.99e-05,0.236,0.746,177.842,207720,4,21.1097,11,1,NeverWantedNothingMore-KennyChesney.wav
21613,Loga,Girma Wolde Michael,spotify:track:79KOMr0Dj7RWWnJHfqBtBT,0.723,0.592,1,-12.319,0,0.0629,0.365,0.759,0.0623,0.85,91.026,383867,4,30.97488,17,0,Loga-GirmaWoldeMichael.wav
15608,Morning Man,Rupert Holmes,spotify:track:14zyRE3VZZji80eOMeil3l,0.537,0.795,4,-8.214,1,0.057,0.252,0.0,0.0727,0.591,114.963,235000,4,38.91046,9,1,MorningMan-RupertHolmes.wav
8847,Free Ride,Tavares,spotify:track:2ZCK1GNYOT1vX6oRS05y4m,0.589,0.769,2,-8.936,1,0.0311,0.284,0.00152,0.156,0.932,122.447,177467,4,33.69552,10,1,FreeRide-Tavares.wav
27066,Moments,Deep Watch,spotify:track:5C8szoUrtmYOizu1ykbK0C,0.152,0.0315,6,-29.774,0,0.047,0.922,0.775,0.11,0.155,139.095,215756,3,40.87318,11,0,Moments-DeepWatch.wav
2656,In The Ghetto,Elvis Presley,spotify:track:7KWoeBqSdZHEloYKVxssfG,0.404,0.266,10,-16.688,1,0.0334,0.716,0.133,0.107,0.491,88.916,167413,4,28.31301,8,1,InTheGhetto-ElvisPresley.wav
21954,Let Your Soul Be Your Pilot,Sting,spotify:track:16aRACBCJ5pqNCeDJOIZf4,0.647,0.574,10,-9.127,1,0.0224,0.368,0.000496,0.11,0.543,96.02,403533,4,30.20628,17,1,LetYourSoulBeYourPilot-Sting.wav
24074,Wave Propagation,Bodhisattva 13:20,spotify:track:4obW2vMevJmbfhXz8SlNyC,0.476,0.987,11,-8.599,0,0.0642,2.4e-05,0.779,0.693,0.159,150.006,452800,4,49.40898,19,0,WavePropagation-Bodhisattva13:20.wav
23981,Falling Snow,Agalloch,spotify:track:73vyulFUPAla99D1wUtMQo,0.184,0.987,10,-4.328,1,0.0736,7.32e-06,0.585,0.0859,0.166,131.129,578760,4,81.60846,15,0,FallingSnow-Agalloch.wav
894,Bittersweet Interlude,Georges Delerue,spotify:track:6UBlzissSQSTtIbgIdoKEa,0.151,0.0964,4,-18.748,0,0.0358,0.917,0.789,0.13,0.0586,136.657,175267,5,35.16882,6,0,BittersweetInterlude-GeorgesDelerue.wav
24247,Magic,Selena Gomez,spotify:track:10xcIQQEJSEIOgG1HvS3t9,0.6,0.916,11,-3.071,0,0.0374,0.00504,0.0,0.27,0.442,104.091,169640,4,112.87158,5,1,Magic-SelenaGomez.wav
18114,All Falls Down,Adelitas Way,spotify:track:3Fi7TFbkTlr1vvBP1mFuYg,0.497,0.725,2,-5.296,0,0.0265,0.00338,5.39e-06,0.134,0.284,134.987,233360,4,42.79016,9,0,AllFallsDown-AdelitasWay.wav
9863,Sam,Olivia Newton-John,spotify:track:2ljjoZun9Xid1AAFKEEXam,0.303,0.409,10,-14.601,1,0.0631,0.558,1.98e-05,0.517,0.248,150.219,221933,5,45.46252,8,1,Sam-OliviaNewton-John.wav
11206,Left In The Dark,Barbra Streisand,spotify:track:56Mezqhixz82RQZFcOUz9J,0.428,0.273,6,-20.813,1,0.0444,0.693,0.0,0.115,0.256,122.292,429733,4,51.28364,17,1,LeftInTheDark-BarbraStreisand.wav
18549,Rehab,Rihanna,spotify:track:4sFRAkllCBqIa08boTHX5A,0.583,0.792,1,-5.894,1,0.0533,0.00321,4.92e-05,0.315,0.397,80.055,294720,4,24.97851,11,1,Rehab-Rihanna.wav
4987,Christmas Fantasy - Part II,John Fahey,spotify:track:2D5nziMIfrNQqXPGzlhMWl,0.446,0.229,11,-16.255,1,0.0334,0.805,0.794,0.109,0.0656,80.371,744893,4,49.05904,32,0,ChristmasFantasy-PartII-JohnFahey.wav
7208,Star,Stealers Wheel,spotify:track:7Htjqx40jNYmjhVAhbSGd4,0.63,0.733,5,-6.135,0,0.0334,0.127,3.1e-06,0.163,0.698,117.768,176880,4,38.63995,10,1,Star-StealersWheel.wav
18841,La Camisa Negra,Juanes,spotify:track:2EM9zpAc7PVeoAydmbfVIL,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707,4,32.41518,8,1,LaCamisaNegra-Juanes.wav
1096,Montuno Guajiro,Niño Rivera,spotify:track:5EB01KExAmZt9yo4okZE9O,0.763,0.531,5,-13.459,1,0.0427,0.663,0.000973,0.0642,0.733,144.553,569241,4,26.43358,25,0,MontunoGuajiro-NiñoRivera.wav
22337,Hot Rock,Sleater-Kinney,spotify:track:7of7IbiR9w7lDxsXmqXqoe,0.532,0.737,3,-5.454,0,0.0326,0.181,0.166,0.109,0.18,137.954,197813,4,63.47744,11,0,HotRock-Sleater-Kinney.wav
9832,Dreamboat Annie,Heart,spotify:track:7IyuwRPPNq6gYI1vzqKsrU,0.497,0.409,0,-15.649,1,0.0335,0.142,0.000141,0.185,0.649,114.823,121707,4,29.4352,7,1,DreamboatAnnie-Heart.wav
4084,A House Is Not A Home,Brook Benton,spotify:track:5Hcr7IkfNZ1FNmikY9MNly,0.362,0.295,8,-15.692,1,0.0362,0.811,0.000314,0.0986,0.306,74.333,181000,4,26.15053,10,1,AHouseIsNotAHome-BrookBenton.wav
22640,John Deere Green,Joe Diffie,spotify:track:2ZXsvL9DO2MPv43Ay1IxgR,0.685,0.817,2,-5.683,1,0.0298,0.15,0.0,0.242,0.768,130.41,273000,4,34.32563,13,1,JohnDeereGreen-JoeDiffie.wav
15892,La Noche Es Larga - Remasterizado,Los Rebeldes,spotify:track:4iL8hXtdsH7UkN44CouEJF,0.595,0.943,2,-3.287,1,0.041,0.0214,0.000726,0.206,0.727,125.885,194947,4,23.64058,10,0,LaNocheEsLarga-Remasterizado-LosRebeldes.wav
2841,Charlena,The Sevilles,spotify:track:7vcJkzUTxuGvrs14PM6qSY,0.727,0.714,3,-10.063,0,0.0314,0.172,0.0091,0.112,0.963,117.511,168533,4,23.18221,9,1,Charlena-TheSevilles.wav
6429,Sue Ann,Antônio Carlos Jobim,spotify:track:2x79jx8Cv3mZzUlOkP1o3x,0.474,0.221,2,-18.199,1,0.0278,0.839,0.935,0.143,0.244,94.151,182493,4,30.45021,11,0,SueAnn-AntônioCarlosJobim.wav
26089,Blame It On Me,Post Malone,spotify:track:1ZemPoaj7LBj1RAQrb89EC,0.652,0.591,11,-7.274,0,0.0418,0.145,5.65e-06,0.164,0.274,121.873,261800,4,70.41373,11,1,BlameItOnMe-PostMalone.wav
26606,Invisible,Hunter Hayes,spotify:track:2B5ey0F0QtFKNIR48vfvNJ,0.38,0.568,1,-5.713,1,0.0436,0.327,0.0,0.0822,0.259,155.956,276400,4,23.84158,12,1,Invisible-HunterHayes.wav
18687,Trading Places,Usher,spotify:track:5yC7WplXvhIHsp8NBYV5dT,0.696,0.643,0,-5.218,1,0.0447,0.000153,1.03e-05,0.156,0.332,146.005,268240,4,79.66612,12,1,TradingPlaces-Usher.wav
18964,She Thinks She Needs Me,Andy Griggs,spotify:track:5Eph6Vs0PftspPXZqlVN2y,0.497,0.568,0,-7.67,1,0.0285,0.0788,0.0,0.223,0.386,138.107,239000,4,45.54319,9,1,SheThinksSheNeedsMe-AndyGriggs.wav
16470,Going Back To Cali,The Notorious B.I.G.,spotify:track:53duuSwaLOZuIrELvZXqLH,0.851,0.647,9,-5.847,1,0.339,0.207,0.0,0.0447,0.596,99.17,307427,4,23.71337,13,1,GoingBackToCali-TheNotoriousB.I.G..wav
17967,U Understand,Juvenile,spotify:track:5V6r4UQ0z7gxkkREnza5Y0,0.901,0.829,5,-4.036,0,0.146,0.0585,0.0,0.0498,0.674,99.766,259293,4,51.05927,13,1,UUnderstand-Juvenile.wav
7512,Thief of Fire,The Pop Group,spotify:track:6N0HfDjXB80gcqgapC2qIV,0.438,0.576,9,-10.296,1,0.137,0.0169,0.0282,0.538,0.454,159.573,276040,4,41.5895,15,0,ThiefofFire-ThePopGroup.wav
28235,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,spotify:track:5JEx7HbmvHQQswJCsoo9rA,0.574,0.758,1,-5.029,0,0.0621,0.0969,0.0,0.395,0.492,144.111,182623,4,18.96274,9,1,CloseToMe-EllieGouldingXDiploFeaturingSwaeLee.wav
5788,Mi Desgracia,Vicente Fernández,spotify:track:10rxI4ciB0qLg9fqLLP9Qi,0.532,0.451,7,-4.232,1,0.0249,0.46,1.81e-05,0.537,0.411,107.252,156400,4,24.39666,8,0,MiDesgracia-VicenteFernández.wav
11006,Breath and Length,The Residents,spotify:track:0p4WpBQy9KFzbgTPcvZg42,0.418,0.687,0,-9.082,1,0.0488,0.164,3.49e-05,0.586,0.37,81.082,102627,3,40.23143,5,0,BreathandLength-TheResidents.wav
1573,Vem Morena Vem,Jorge Ben Jor,spotify:track:75wVq4apQLxpOM6R58lMhy,0.614,0.473,10,-8.303,0,0.0705,0.725,0.0,0.454,0.754,91.747,117133,4,28.35606,7,0,VemMorenaVem-JorgeBenJor.wav
3296,Ven a Salvarme,Javier Solís,spotify:track:63ogJWCdlJTi3I5lP3mFXY,0.552,0.303,0,-13.077,1,0.0283,0.769,3.13e-05,0.129,0.616,108.852,162693,4,21.03048,7,0,VenaSalvarme-JavierSolís.wav
4324,In the Evening,Yusef Lateef,spotify:track:6zMosqP1jlVyYNoTJYdb7p,0.39,0.237,5,-13.639,1,0.0356,0.698,0.071,0.154,0.283,175.778,401267,3,50.01128,16,0,IntheEvening-YusefLateef.wav
18537,Rubber Band Man,T.I.,spotify:track:5Rkbnhwkb6oiqq1HQcXirN,0.601,0.768,8,-5.712,1,0.386,0.141,0.0,0.482,0.634,152.45,347507,4,39.05513,13,1,RubberBandMan-T.I..wav
17665,S.O.S.,Jonas Brothers,spotify:track:4BfmwIHuo6LITtvxFHsNnw,0.602,0.669,7,-3.904,1,0.0635,0.000917,0.0,0.114,0.74,137.058,153347,4,22.46207,7,1,S.O.S.-JonasBrothers.wav
3804,Married Man,Richard Burton,spotify:track:2iw33rWGH2cjSFTkFJRoUf,0.252,0.193,6,-19.187,1,0.0428,0.908,0.778,0.104,0.209,134.696,149280,5,56.93337,5,1,MarriedMan-RichardBurton.wav
8565,The Way Home,Kevin Braheny,spotify:track:1sWNTVYnz0xbo3AWtBuM2m,0.116,0.18,10,-19.336,1,0.0315,0.92,0.944,0.103,0.0353,87.828,1493200,4,40.01233,70,0,TheWayHome-KevinBraheny.wav
12923,Alors regarde,Patrick Bruel,spotify:track:0QpLW9XihSWc9sjqZPQVmr,0.543,0.834,9,-6.345,1,0.0349,0.0146,1.75e-06,0.0926,0.338,94.841,257453,4,30.92027,11,0,Alorsregarde-PatrickBruel.wav
3583,Last Chance To Turn Around,Gene Pitney,spotify:track:4efIPPwKyU2bCYhzdgudX9,0.455,0.749,5,-8.525,1,0.0501,0.719,0.0,0.121,0.389,135.418,185920,4,29.07155,11,1,LastChanceToTurnAround-GenePitney.wav
15003,Turning Point,Shamall,spotify:track:19vRWWv7fSKJQJcdw3ILPa,0.532,0.664,9,-12.566,0,0.0306,0.00806,0.695,0.11,0.146,100.199,467827,4,30.20017,12,0,TurningPoint-Shamall.wav
14140,Death of the West,Death In June,spotify:track:74F94uWPHrhn7waYQ51lZF,0.494,0.893,4,-6.934,0,0.073,0.532,0.774,0.605,0.339,125.484,130667,4,12.09821,3,0,DeathoftheWest-DeathInJune.wav
3541,Rip Van Winkle,The Devotions,spotify:track:6wP6XDZH9HiMs6ejL2R6nj,0.577,0.53,11,-7.629,1,0.058,0.711,0.000145,0.875,0.768,90.783,138293,4,30.97773,8,1,RipVanWinkle-TheDevotions.wav
